Кат. номер;Бренд;Цена.;склад;магаз;Модель
83535-2D000;MOBIS;178.00;1;;XD 4DR
86842-1D000;MOBIS;136.00;1;;CRN III
52750-1R000;MOBIS;2385.00;3;;SOLARIS
0B61L-10-271A_SK;SK(NON-ASB);85.00;2;;SE 1.5 SOHC/AVL 1.5 SOHC
86842-2F500;MOBIS;114.00;10;;CERATO 4DR (07~)
87820-1M200;MOBIS;3213.00;1;;CERATO NEW 09~ 2DR
25411-1P100;MOBIS;652.00;1;;I30 (12~)
86842-2K000;MOBIS;113.00;5;;SOUL
51750-4D000;MOBIS;2635.00;3;1;CNV(07~)
CRKH41L;CTR;270.00;6;2;SOLARIS/RIO NEW (12~)
51750-4D000_OEM;OEM;2765.00;1;;CNV(07~)
CRKH41R;CTR;270.00;2;4;SOLARIS/RIO NEW (12~)
25410-4A150;MOBIS;186.00;4;1;H-1 (D4BF/D4BH)
0K553-62-511A;MOBIS;1922.00;1;;CNV
87820-1D000;MOBIS;1165.00;1;;CRN III
25412-1F350;MOBIS;386.00;2;6;TUCS 2.0TD/SPG NEW 2.0TD
CRKH10;CTR;304.00;7;;SNT2,3
25412-2S100;MOBIS;373.00;1;;IX 35 2.0i/SPG (SLOV) 10~ 2.0i
86352-26900;MOBIS;111.00;1;;SANTA FE
86365-1C000;MOBIS;100.00;1;;GETZ
87611-1G200;MOBIS;313.00;2;;RIO 3
25415-3K100;MOBIS;377.00;2;1;NF 2.0i/NF 2.4
0K74P-34-720B;MOBIS;1668.00;1;1;PRG (04~)
25415-2H001;MOBIS;181.00;1;2;ELNT (07~) 1.6i/I30 1.4/1.6i/CEED 1.4/1.6
25412-2D000;MOBIS;290.00;1;;XD 1.6
54611-3F300;MOBIS;8340.00;1;;OPIRUS
25412-3J100;MOBIS;353.00;1;1;VERACRUZ 3.8i
54651-1M300;MOBIS;1580.00;8;;CERATO NEW 09~ 4DR
29120-2H000;MOBIS;75.00;4;;ELANTRA (07~)/CEED/I30
25415-2H100;MOBIS;229.00;1;1;ELNT (07~) 2.0i/I30 2.0i/CEED 2.0i
54612-1M000;MOBIS;337.00;4;2;CERATO NEW 09~
54651-1M310;MOBIS;1640.00;2;;CERATO NEW 09~ 2DR
54650-2K200;MOBIS;1974.00;1;;SOUL 1.6i
25412-1E000;MOBIS;227.00;1;;VRN NEW 1.4/1.6
21930-25010;MOBIS;375.00;1;1;VRN
29120-0X000;MOBIS;383.00;2;;i 10
54630-3E300;MOBIS;2122.00;3;;SRT (07~)
25412-2B800;MOBIS;306.00;1;;CM 10 2.4i
29120-2S500;MOBIS;255.00;2;;IX 35 2.0TD
54551-4H000;MOBIS;147.00;10;8;H-1 NEW (08~)
25412-4H000;MOBIS;402.00;3;1;H-1 NEW (08~) 2.5D
57724-2S000;MOBIS;368.00;6;4;IX35/SPG (SLOV) 10~
54551-3X000;MOBIS;151.00;10;4;ELANTRA (11~)/I30 (12~)
21351-2X600;MOBIS;156.00;1;;RIO 1.3 SOHC (02/07~)
21930-39801;MOBIS;1908.00;4;;XG 3.0/OPIRUS 3.5
25413-5H003;MOBIS;176.00;1;;HD65/72
57724-2W000;MOBIS;419.00;10;2;SANTA FE (13~)/SRT NEW  (13~)
54830-2C000;MOBIS;278.00;1;4;COUPE  01~
54651-3U000;MOBIS;2138.00;10;;SPG (SLOV) 10~
21930-2B000;MOBIS;2077.00;4;3;STF NEW 2.2TD
25415-3S000;MOBIS;327.00;1;;SONATA YF/OPTIMA 11
21930-25400;MOBIS;376.00;3;1;VRN 1,5
29120-3X000;MOBIS;281.00;2;;ELANTRA (11~)
25412-2B700;MOBIS;285.00;2;;CM 10 2.2TD
21950-3S000;MOBIS;2681.00;3;;SONATA YF 2.4i
21950-3X000;MOBIS;1017.00;2;;ELANTRA (11~) 1.6/1.8i/K3 1.6i
54650-1Y200;MOBIS;1496.00;1;;PICANTO (12~)
25412-1C100;MOBIS;437.00;1;1;GETZ  1.3
0K2Y2-11-SKX;MOBIS;288.00;1;;SE 1.8/CLR 1.8
54650-2K840;MOBIS;2046.00;2;;SOUL (12~) 1.6d
29120-2W000;MOBIS;787.00;2;;STF (13~) 2.4i/2.2td/SRT NEW  (13~)
25412-2W000;MOBIS;480.00;2;1;STF (13~) 2.2td
21950-1R000;MOBIS;1056.00;2;1;SOLARIS 1.4/1.6i/RIO NEW (12~) 1.4/1.6i
54650-2K850;MOBIS;1877.00;2;;SOUL (12~) 1.6i
87262-1H100;MOBIS;308.00;1;;CEED WGN
25412-2W500;MOBIS;729.00;2;1;STF (13~) 2.4i
54551-2D000_OEM;OEM;110.00;4;1;XD/CERATO
87262-1D500;MOBIS;350.00;1;;CRN III (08~)
54830-3R000;MOBIS;226.00;4;4;SONATA YF
BN37300-23600;MANDO;3349.00;1;;MATRIX 1.6/1.8/GETZ  1.3/1.6/XD 1.6/TUCS 2.0i
25412-1R000;MOBIS;116.00;3;1;SOLARIS 1.4/1.6i
87262-3W500;MOBIS;426.00;1;;SPG (SLOV) 10~
29120-3X700;MOBIS;237.00;5;;ELANTRA (14~)
57785-26200;MOBIS;390.00;2;1;STF
57724-38010;MOBIS;359.00;2;1;SNT EF/XG/MGN
54651-3U010;MOBIS;1707.00;6;;SPG (SLOV) 12~
25412-5K101;MOBIS;483.00;2;;HD65/72
57755-25000;MOBIS;515.00;2;2;VRN
54551-38010_OEM;OEM;101.00;10;5;EF/XG/MAGENTIS
87292-1F000;MOBIS;414.00;1;;SPG NEW (~08)
25412-3X001;MOBIS;282.00;1;1;ELANTRA (11~) 1.6i/I30 (12~) 1.4/1.6i
29120-1R400;MOBIS;123.00;10;;
57724-2D000;MOBIS;258.00;10;10;XD/COUPE  01~/CRT (~06)
82210-1M200;MOBIS;569.00;1;;CERATO NEW 09~ 2DR
29120-3R000;MOBIS;156.00;2;;YF
54630-3E031;MOBIS;1668.00;4;;
SH54584-1G000;SHIN HWA;117.00;10;3;VRN NEW/RIO 3
82210-2T000;MOBIS;410.00;1;;OPTIMA 11
55225-5K500;MOBIS;390.00;8;;HD65/72
93410-1G000;MOBIS;385.00;1;;VRN NEW
82210-A7000;MOBIS;609.00;1;;K3
21930-26200;MOBIS;690.00;2;1;STF 2.4/STF 2.7
57724-3K500;MOBIS;318.00;4;2;NF/GRANDEUR
82210-A7010;MOBIS;609.00;1;;K3
93410-3K510;MOBIS;433.00;1;;NF (08~)
21930-39601;MOBIS;895.00;1;;EF 2.0 (02/01~)/MGN
62486-2E000;MOBIS;231.00;4;;TUCS/SPG NEW
57729-4A010;MOBIS;308.00;2;2;H-1 (03~)
62400-1Y000;MOBIS;1877.00;1;1;PICANTO (12~) 1.2i
93410-2H101;MOBIS;665.00;2;1;ELNT (07~)
62486-2B000;MOBIS;165.00;4;2;STF NEW
57724-3S000;MOBIS;357.00;2;1;SONATA YF
62405-4D100;MOBIS;12667.00;1;;CNV(07~) 2.7
93410-2H001;MOBIS;882.00;1;;ELNT (07~)
PH62485-38200;PH(POS);68.00;10;;SNT EF/MGN
41100-39310;MOBIS;1111.00;1;2;TUCS 2.0TD
21930-1C250;MOBIS;459.00;3;1;GETZ  1.3/1.6
62486-2E000_NG;NG;171.00;10;8;TUCS/SPG NEW
62405-A7000;MOBIS;12057.00;2;;K3
58112-3J000;MOBIS;293.00;1;2;IX55 (09~)
41100-39300;MOBIS;2086.00;2;1;TUCS 2.0TD/SPG NEW 2.0TD
87292-1F001;MOBIS;204.00;1;;SPG NEW (08~)
82231-1M000WK;MOBIS;268.00;1;;CERATO NEW 09~
87252-1H100;MOBIS;285.00;1;;CEED WGN
25321-0X000;MOBIS;242.00;1;;i 10
VKD27779;VALEO;792.00;1;;
87252-1D500;MOBIS;351.00;1;;CRN III (08~)
21930-3S050;MOBIS;1416.00;1;;SONATA YF 2.0i
93420-1C130;MOBIS;868.00;1;;GETZ (05~)
0K30A-58-810A;MOBIS;156.00;1;;RIO
49501-2E700_KGC;KGC;1866.00;2;;TUCS 2.0TD (MTA)
21950-2S100;MOBIS;1430.00;1;;IX35 (14~) 2.0i/2.0td
0K9A0-50-640G;MOBIS;252.00;1;;CLR1
21930-1F100;MOBIS;989.00;1;1;
82220-1G000;MOBIS;257.00;1;;RIO 3
55118-4A501;MOBIS;332.00;10;2;H-1 (STAREX)
SLH0034;MANDO;108.00;6;2;i 10
21930-2C051;MOBIS;907.00;1;;COUPE  01~ 2.7
62405-1D500;MOBIS;12646.00;1;;CRN III 2.0i (08~)
82220-2G000;MOBIS;262.00;2;;MGN III
SLK0020;MANDO;218.00;7;;SONATA YF/OPTIM
82220-1D000;MOBIS;211.00;1;;CRN III
SLH0097;MANDO;218.00;10;2;SONATA YF
55118-4A501_OEM;OEM;113.00;10;4;H-1
82220-1H000;MOBIS;278.00;1;;CEED
82220-1F000WK;MOBIS;237.00;2;;SPG NEW
87620-1M010;MOBIS;1611.00;2;;CERATO NEW 09~ 4DR
52718-38000;MOBIS;226.00;10;> 10;SNT EF/XG/MAGENTIS
82220-1H300;MOBIS;583.00;1;;CEED 3DR
28164-23720;MOBIS;2933.00;1;1;SPG NEW (SLOV) 07~ 2.0i
55215-3K000;MOBIS;173.00;4;4;NF/GRANDEUR
82220-3E001;MOBIS;138.00;1;;SRT
25411-26010;MOBIS;252.00;4;;STF 2,0/2.4
CLKH38R;CTR;238.00;2;3;H-1 (08~)
87620-2P410;MOBIS;2081.00;1;;SRT NEW  (09~)
25411-1E300;MOBIS;207.00;1;;VRN NEW 1.5TCI
56820-07000;MOBIS;292.00;4;5;PICANTO
82220-2K000;MOBIS;269.00;1;;SOUL
57724-4H000;MOBIS;265.00;2;2;H-1 (08~)
25411-0X100;MOBIS;100.00;2;;i 10 1.2i
82220-2P000;MOBIS;332.00;1;;SRT NEW  (09~)
87620-1G310;MOBIS;1350.00;1;;RIO 3
57724-4L000;MOBIS;436.00;2;1;SOLARIS/RIO NEW (12~)
CLKH32R;CTR;217.00;6;2;STF NEW/VERACRU
25414-3K500;MOBIS;334.00;1;;NF 2.0i/NF 2.4
82220-1M000;MOBIS;281.00;1;;CERATO NEW 09~ 4DR
57724-4L090;MOBIS;418.00;2;1;SOLARIS/RIO NEW (12~)
CLKH44R;CTR;208.00;2;3;
87620-1H155;MOBIS;3344.00;1;;CEED (10~)
25411-4H000;MOBIS;222.00;1;1;H-1 NEW (08~)
56870-5H200;MOBIS;2349.00;1;;HD65/72
EX57724-3K500;MANDO;267.00;8;2;NF/GRANDEUR
25412-5H002;MOBIS;331.00;4;;HD65/72
52718-3K000_OEM;OEM;50.00;7;1;NF
EX57724-2E000;MANDO;159.00;2;6;TUCS/SPG NEW
52718-38000_GY;GEUN YOUNG;66.00;10;;SNT EF/XG/MAGENTIS
87620-07193;MOBIS;2203.00;1;;PICANTO (11~)
23611-42000_KFM;KFM;254.00;2;;H-100 2,5D
54650-3K600DS;MOBIS;1168.00;2;;NF (08~)
49600-2E000;MOBIS;4820.00;2;;TUCS (4WD)
83830-2E000;MOBIS;267.00;1;;TUCS
87620-1M015;MOBIS;2855.00;1;;CERATO NEW 11~ 4DR
EX54661-1F000;MANDO;1216.00;1;;SPG NEW/TUCS
23360-4A100;MOBIS;1056.00;10;2;SRT 2.5TD (D4CB)/H-1 (D4CB)(02~)
87620-2F302;MOBIS;2868.00;2;;CERATO 4DR (07~)
49600-2B010;MOBIS;3431.00;1;;STF NEW 2.2TD/2.7i
87742-2E001ZW;MOBIS;1322.00;1;;TUCS (07~)
23060-21124_AA;AA;203.00;1;;PONY/LNT 1.5
25411-2W500;MOBIS;796.00;3;;STF (13~) 2.4i
55510-2E100;MOBIS;2402.00;1;;TUCSON
49600-2B900;MOBIS;3200.00;1;;CM 10
87620-2K171;MOBIS;2441.00;2;;SOUL (12~)
49600-3J050;MOBIS;5972.00;1;;
56771-45600;MOBIS;528.00;2;5;HD65/72 (05~)
23060-25110_KFM;KFM;254.00;1;;MGN III 2.0i
25411-1R250;MOBIS;265.00;2;;SOLARIS 1.6i
79710-4A003;MOBIS;232.00;1;;MATRIX/H-1 (STAREX)/TRAJET
56771-62001;MOBIS;469.00;2;;HD120
21930-1G150_DS;DS;586.00;3;;VRN NEW 1.4/1.6/RIO 3 1.4/1.6
87620-A7050;MOBIS;3782.00;1;;K3
79710-2E000;MOBIS;125.00;2;;TUCS/VERACRUZ
K56771-45000;MOBIS;1838.00;10;;HD65/72
56820-3E000;MOBIS;370.00;2;1;SRT
25411-3X600;MOBIS;234.00;4;;ELANTRA (11~) 1.8i
79770-0X000;MOBIS;299.00;1;;i 10
K56771-45600;MOBIS;2024.00;7;1;HD65/72 (05~)
25410-17610;MOBIS;641.00;1;;MATRIX 1.5TD
0K34B-70-601;MOBIS;3723.00;1;;RIO 5DR
K56771-62001;MOBIS;2966.00;4;1;HD120
49600-2S000;MOBIS;3975.00;3;;
67111-2F000;MOBIS;4639.00;1;;CERATO 4DR
54840-2C000;MOBIS;296.00;3;;COUPE  01~
25411-A5000;MOBIS;554.00;1;1;I30 (12~)
67111-2G000;MOBIS;3598.00;1;;MGN III
21930-3K000_DS;DS;485.00;2;;NF 2.0/2.4i
67111-07000;MOBIS;3243.00;3;;PICANTO
87620-1G100;MOBIS;1969.00;1;;
67111-1G200;MOBIS;2780.00;1;;RIO 3 5DR
79410-3D000;MOBIS;102.00;1;1;SNT5
37322-4A310;MOBIS;990.00;2;;H-1 NEW (08~) 2.5D
67111-1G000;MOBIS;4799.00;2;;RIO 3 4DR
79410-3K000;MOBIS;213.00;2;;NF/ELANTRA (11~)
49601-2S000;MOBIS;4891.00;2;;
21930-34200_DS;DS;399.00;3;;SNT2
67111-1H010;MOBIS;7131.00;2;;CEED 5DR
87620-2F161;MOBIS;1813.00;2;;CERATO
56820-2W000;MOBIS;465.00;1;1;SRT NEW  (13~)
79410-2D000;MOBIS;106.00;2;;CEED/I30
87620-07098;MOBIS;1529.00;2;;PICANTO (08~)
23200-2A854;KIA/HYUNDAI;18571.00;1;; 1.7D
87620-1M000;MOBIS;3091.00;3;;CERATO NEW 09~ 4DR
97154-2E200;MOBIS;612.00;8;2;TUCS
SH55215-3K000;SHIN HWA;76.00;10;3;NF/GRANDEUR
21930-35000_DS;DS;344.00;2;;SNT3
87620-1D921;MOBIS;4251.00;1;;CRN III (10~)
79350-1C000;MOBIS;126.00;2;;GETZ
82220-A7010;MOBIS;609.00;1;;K3
EX54650-1C300;MANDO;1024.00;2;;GETZ (05~)
79430-3D000;MOBIS;109.00;2;;SNT5
23129-42000;MOBIS;1059.00;1;;H-100 2,5D
CEKK32L;CTR;301.00;5;2;MGN III/CRN III
79350-1E000;MOBIS;104.00;1;1;VRN NEW
23124-22700;MOBIS;667.00;2;1;ACT 1.5 SOHC
87606-1M005;MOBIS;2860.00;1;;CERATO NEW 11~ 2DR
87620-1M005;MOBIS;2364.00;1;;CERATO NEW 11~ 4DR
79350-17000;MOBIS;390.00;1;;MATRIX
23124-27100;MOBIS;984.00;1;1;STF 2.0 TD
21930-2F400_DS;DS;668.00;4;;CERATO 2.0i
0K72A-33-047;MOBIS;314.00;3;3;PRG
54650-1C300oil;MOBIS;1554.00;10;2;GETZ (05~)
54651-2J340;MOBIS;1668.00;1;1;MOHAVE
31911-2E000;MOBIS;513.00;5;4;TUCS 2.0i/SPG NEW 2.0i
0S083-33-047_OEM;OEM;146.00;1;1;BST
79340-1C000;MOBIS;78.00;2;;GETZ
54630-1J002;MOBIS;733.00;2;;i20NEW (12~) 1.4i
79340-2B000;MOBIS;205.00;1;;STF NEW
49508-2EG00;MOBIS;3355.00;2;;TUCS 2.0TD
54660-26300;MOBIS;2300.00;5;1;STF
31910-2H000;MOBIS;529.00;5;3;ELANTRA (07~)/I30/CEED/CRN III 2.0i/i 10
0K30A-50-610E;MOBIS;256.00;1;;RIO 4DR
PH21810-1G100;PYUNGWHA;970.00;2;;VRN NEW 1.5TCI
54630-1J302;MOBIS;888.00;2;;i20NEW (12~) 1.2i
79110-D9000;MOBIS;756.00;2;;SPG 15~
79420-3K000;MOBIS;232.00;1;;NF/ELANTRA (11~)
0K2A1-50-610A;MOBIS;166.00;1;;SE2/SPC
79120-D9000;MOBIS;739.00;2;;SPG 15~
49508-2EJ50;MOBIS;2403.00;3;;TUCS 2.7i
54661-2D100;MOBIS;1481.00;3;;XD
79340-2B020;MOBIS;261.00;1;;SRT NEW  (09~)/VENGA
57700-1F000_REB;REBUILT;2581.00;2;;TUCS/SPG NEW
21812-43200_OEM;OEM;292.00;3;2;H-100
64900-F1000;MOBIS;5177.00;1;;SPG 15~
87120-M3000;MOBIS;150.00;1;;JOICE
HC97641-2H140;HALLA(HANON);751.00;1;;ELNT (09~) 2.0i
79360-1C000;MOBIS;100.00;2;;GETZ
35107-3C200FFF;MOBIS;207.00;1;2;
0S083-26-251B;MOBIS;1719.00;2;;BST/PRG
0K72A-62-933A;MOBIS;180.00;1;;PRG
PH21810-2C200;PYUNGWHA;778.00;1;1;XD 1.6
54660-2C300;MOBIS;1495.00;4;1;COUPE  01~
81320-2S000;MOBIS;1635.00;1;;IX35
31112-3Q500;MOBIS;479.00;9;7;IX 35 2.0i
0K201-26-251B;MOBIS;792.00;3;;SE1/SE2/SHM
PH21810-2C300;PYUNGWHA;930.00;1;1;XD 1.8/2.0
54661-2E500;MOBIS;2002.00;10;1;TUCS/SPG NEW
31112-3R000;MOBIS;414.00;10;4;SONATA YF 2.0i/ELANTRA (11~) 1.6/1.8i/K3
HC97641-2K000;HALLA(HANON);1318.00;1;1;ELANTRA (11~) 1.6i
29130-1R400;MOBIS;167.00;10;;SOLARIS/RIO NEW (12~)
54660-3A201;MOBIS;2051.00;1;;TRAJET
31112-1R000;MOBIS;438.00;10;9;SOLARIS/SRT NEW  (13~) 2.4i/RIO (12~)
0K79A-26-251;MOBIS;1605.00;2;;PRG GRAND
49591-3X0B0;MOBIS;4328.00;3;;ELANTRA (11~) 1.6i
54660-2B200;MOBIS;2085.00;10;;STF NEW
29136-2S000;MOBIS;66.00;1;;IX35/SPG (SLOV) 10~
25630-2F000;MOBIS;167.00;2;2;CM 10 2.2TD/SRT NEW  (09~) 2.2d
49591-3X2B0;MOBIS;3957.00;2;;ELANTRA (11~) 1.8i
54660-1E200;MOBIS;1311.00;5;;VRN NEW
31112-3X000;MOBIS;504.00;10;3;ELANTRA (11~) 1.6/1.8i/CARENS (13~) 1.6/2.0i
29130-4H000;MOBIS;1362.00;1;;H-1 NEW (08~)
87610-4H610;MOBIS;2241.00;1;;H-1 NEW (08~)
54661-2S550;MOBIS;2363.00;1;1;IX35
54630-3E022;MOBIS;1746.00;1;;SRT (~04)
86525-B8000;MOBIS;618.00;1;;GRAND SANTA FE 
54661-2H000;MOBIS;1360.00;3;;ELANTRA (07~)
54651-2F100;MOBIS;1168.00;3;;CERATO
67111-2P000;MOBIS;8340.00;1;;SRT NEW  (09~)
21813-4A021;MOBIS;664.00;4;2;H-1 (STAREX)
21510-2B000;MOBIS;376.00;3;;ELNT (07~) 1.6i/I30 1.4/1.6i/CEED 1.4/1.6
86612-2T110;MOBIS;873.00;1;;OPTIMA 11
86519-3V000;MOBIS;205.00;1;;AZERA 11~
54661-2L200;MOBIS;1668.00;8;1;I30
86361-3V000;MOBIS;230.00;3;;AZERA 11~
86362-3V000;MOBIS;230.00;2;;AZERA 11~
29130-G6000;MOBIS;331.00;1;;PICANTO
92101-C1110;MOBIS;23950.00;1;;SNT 15~
98810-4A000;MOBIS;240.00;2;1;H-1
54660-0X100;MOBIS;1418.00;5;;i 10
54651-2G300;MOBIS;1324.00;10;;MGN III
92102-C1110;MOBIS;25383.00;1;;SNT 15~
56820-G6000;MOBIS;745.00;1;;PICANTO 18~
98811-B8000;MOBIS;396.00;1;;GRAND SANTA FE 
VKD30905;VALEO;1558.00;1;1;
0K2A3-34-900H;MOBIS;1067.00;1;1;SE2/SHM
54660-4H150;MOBIS;1957.00;4;2;H-1 NEW (08~)
98310-3X000;MOBIS;774.00;1;;ELANTRA (11~)/(14~)
56825-G6900;MOBIS;776.00;1;;PICANTO 18~
21510-2A152;MOBIS;1066.00;2;;CEED 1.6TD/CRT (06~) 1.6TD
54651-1D201;MOBIS;1729.00;4;;CRN III
54660-2B510;MOBIS;2085.00;3;1;CM 10
87721-3K510NW;MOBIS;318.00;1;;NF (08~)
21510-25001;MOBIS;747.00;6;;MGN III 2.0i
83533-F1000;MOBIS;752.00;1;;SPG 15~
83543-F1000;MOBIS;752.00;1;;SPG 15~
21510-2A102;MOBIS;1028.00;3;;VRN NEW 1.5TCI
87711-D9000;MOBIS;584.00;1;;SPG 15~
25215-42021_DON;DONGIL;95.00;8;2;H-1 2.5TD/H-100
86826-3V000;MOBIS;626.00;3;;AZERA 11~
87712-3K510NW;MOBIS;738.00;1;;NF (08~)
39180-22090;MOBIS;431.00;1;1;ACT 1.3/VRN 1.3 SOHC
86831-3S500;MOBIS;350.00;3;;SONATA (14~)
21510-2G100;MOBIS;1307.00;1;;IX 35 2.0i
86823-3V000;MOBIS;512.00;2;;AZERA 11~
21813-4A051_OEM;OEM;516.00;2;2;H-1 
87712-D9000;MOBIS;584.00;1;;SPG 15~
0K2NF-34-700A;MOBIS;1390.00;1;;SE2 00-/SHM2
86841-3S500;MOBIS;400.00;1;;SONATA (14~)
21510-2B020;MOBIS;388.00;2;;I30 (12~) 1.4/1.6i
97113-2D010;MOBIS;1389.00;2;;XD
86824-3V000;MOBIS;512.00;2;;AZERA 11~
Q0K019-60-960B;MOBIS;669.00;2;;SPG GSL
86811-B8000;MOBIS;1272.00;3;;GRAND SANTA FE 
31922-4H001;MOBIS;584.00;10;5;H-1 2.5(08~)/I30 1.6D/IX 35 2.0TD
69200-3C060;MOBIS;5503.00;1;;MGN
86812-B8000;MOBIS;1272.00;1;;GRAND SANTA FE 
49582-3K460;MOBIS;2243.00;1;;NF 3.3/GRNR 3.3
92404-C1031;MOBIS;10829.00;1;;SNT 15~
54661-2T010;MOBIS;2745.00;2;;SONATA YF
69200-2F080;MOBIS;7514.00;1;;CERATO
54661-3X250;MOBIS;1890.00;8;;ELANTRA (11~)
Q0K045-60-960B;MOBIS;673.00;1;;SPG 98~
31973-44001;MOBIS;250.00;10;2;
98350-17000;MOBIS;142.00;2;2;MATRIX/GETZ
69200-2G021;MOBIS;6057.00;2;;MGN III
64100-17003;MOBIS;1893.00;2;;MATRIX (05~)
92207-C1000 ;MOBIS;8800.00;1;;SNT 15~
87620-4L020CA;MOBIS;2954.00;1;;SOLARIS
21813-4A021_OEM;OEM;435.00;4;2;H-1 (STAREX)
86821-3D000;MOBIS;229.00;3;;SNT5
54651-A6810;MOBIS;3119.00;2;;I30 (12~)  1.6D
58130-2K000;MOBIS;3054.00;1;;SOUL
87742-D9000;MOBIS;504.00;1;;SPG 15~
54661-A6810;MOBIS;3119.00;1;;I30 (12~) 
54651-A6105;MOBIS;2599.00;4;;I30 (12~) 
54661-A6105;MOBIS;2599.00;4;;I30 (12~) 1.4/1
41412-49600_DJ;DAEJIN;267.00;1;;
86821-2H000;MOBIS;101.00;1;;ELANTRA (07~)
25420-2E500;MOBIS;285.00;2;1;TUCS 2.0d/2.7i
21830-1C270;MOBIS;872.00;2;1;GETZ
21830-0X010;MOBIS;1068.00;2;;i 10 1.2i
86821-2L100;MOBIS;186.00;5;;I30 WGN
86830-2B000;MOBIS;771.00;2;1;STF NEW
25420-2B700;MOBIS;661.00;2;;CM 10
39180-4A061;MOBIS;742.00;1;;H-1 (D4BH) (05~06)
0K60A-32-270;MOBIS;400.00;2;4;K2700 (~01)
86821-1E000;MOBIS;159.00;3;;VRN NEW 4DR
86510-C1010;MOBIS;8475.00;4;;SNT 15~
86561-C1000;MOBIS;326.00;2;;SNT 15~
86830-0X000;MOBIS;160.00;2;;i 10
86821-3K500;MOBIS;153.00;4;;NF (08~)
54620-2B000;MOBIS;358.00;6;2;STF NEW
86110-A6000;MOBIS;7092.00;1;;I30 (12~)
86520-C1000;MOBIS;781.00;2;;SNT 15~
56540-07600;MOBIS;260.00;3;2;PICANTO (08~)
31922-26910_AN;ANAM;207.00;1;1;STF 2.0 TD/MATRIX 1.5TD/STF NEW 2.2TD
0K9A2-33-980F_REB;REBUILT;763.00;1;;CLR
92405-2W035;MOBIS;2389.00;1;;SANTA FE (13~)
0K75B-33-980_REB;REBUILT;1272.00;3;;PRG 99~
0K9A2-69-120CXX;MOBIS;1036.00;1;;CLR1
31922-2B900_AN;ANAM;207.00;1;8;STF NEW 2.2TD/VRN NEW 1.5TCI/RIO 3 1.5TD
0K2A3-69-120CXX;MOBIS;1171.00;1;;SE2/SHM
25414-38040;MOBIS;190.00;2;1;SNT5/MGN
66321-C1000;MOBIS;3451.00;1;;SNT 15~
25414-3L200;MOBIS;473.00;1;;GRNR 3.3
87606-FD550XX;MOBIS;1362.00;1;;RIO 2
0K2S3-69-120XX;MOBIS;1104.00;1;;SPC/SHM2
25411-3X100;MOBIS;398.00;1;1;ELANTRA (11~) 1.6i
87620-1G300;MOBIS;2094.00;2;;RIO 3
CRKK25;CTR;216.00;2;2;PICANTO (08~)
87620-2G010;MOBIS;2362.00;1;;MGN III
87620-1F300;MOBIS;2511.00;1;;SPG NEW
25414-3K100;MOBIS;493.00;7;1;NF 2.0i/NF 2.4
54630-2T094DS;MOBIS;1115.00;6;6;SONATA YF/OPTIMA 11
83210-2H000;MOBIS;466.00;3;;ELANTRA (07~)
83210-2L000;MOBIS;465.00;2;;I30 5DR
97128-2D210;MOBIS;260.00;3;1;
25411-1E000;MOBIS;197.00;2;1;VRN NEW 1.4/1.6
87620-1H150;MOBIS;2469.00;1;;CEED
87606-1H161;MOBIS;3892.00;1;;CEED
24380-4A100;MOBIS;759.00;10;1;SRT 2.5TD (D4CB)
83210-3L000;MOBIS;386.00;1;;GRANDEUR
97035-1E100;MOBIS;817.00;3;;
25411-2E101;MOBIS;223.00;2;;TUCS 2.0i/SPG NEW 2.0i
25411-2E350;MOBIS;231.00;2;;TUCS 2.0TD
55375-26000;MOBIS;156.00;6;3;STF
28190-1G000;MOBIS;202.00;4;;RIO 3/VRN NEW
28190-26610;MOBIS;73.00;1;;VRN
83210-3J000;MOBIS;306.00;1;;VERACRUZ/IX55 (09~)
28190-3K010;MOBIS;250.00;4;;NF 2.0/2.4i
25414-2H100;MOBIS;479.00;3;1;ELNT (07~) 2.0i/I30 2.0i/CEED 2.0i
83210-3X000;MOBIS;555.00;1;;ELANTRA (11~)
28190-3K200;MOBIS;449.00;1;;NF 3.3/GRANDEUR
83210-1R000;MOBIS;537.00;4;;SOLARIS
28190-1C000;MOBIS;304.00;1;;GETZ
54661-2S650;MOBIS;1716.00;2;;IX35
57724-2G010;MOBIS;257.00;3;2;MGN III/CRN III
86110-3K040;MOBIS;6041.00;2;;
28210-2C000;MOBIS;1014.00;1;;COUPE  01~
28190-1C100;MOBIS;242.00;3;;GETZ (05~)
54630-2D000;MOBIS;844.00;1;;XD
83210-3K000;MOBIS;215.00;2;;NF
28190-2H000;MOBIS;220.00;1;;ELANTRA (07~)/I30 1.4/1.6/2.0i
64101-2K250;MOBIS;4448.00;1;;SOUL (12~) 1.6d
83210-3K010;MOBIS;207.00;1;;NF
41200-49920;MOBIS;11887.00;2;;SRT 2.5TD (D4CB) (06~)
28190-1F000;MOBIS;544.00;1;;TUCS/SPG NEW
64101-A2000;MOBIS;7222.00;2;;CEED (12~)
CRKK28L;CTR;249.00;6;;RIO 3
83220-3D000;MOBIS;315.00;1;;SNT5
54630-2C030;MOBIS;708.00;2;;COUPE  01~
86110-2S040;MOBIS;5913.00;3;;
83220-2D000;MOBIS;354.00;1;;XD 4DR
83220-2D200;MOBIS;254.00;3;;XD 5DR
0K2A1-16-510A;MOBIS;510.00;1;1;AVL/SE/SHM/RIO/SPC
